Date,"Korea, South",Germany,United Kingdom,US,France
2020-01-22,0.0,0.0,0.014730575346369961,0.0030211238398812706,0.0
2020-01-23,0.0,0.0,0.014730575346369961,0.0030211238398812706,0.0
2020-01-24,0.0390097872630509,0.0,0.029461150692739923,0.006042247679762541,0.0
2020-01-25,0.05851468089457634,0.0,0.029461150692739923,0.006042247679762541,0.0
2020-01-26,0.05851468089457634,0.0,0.04419172603910988,0.015105619199406353,0.0
2020-01-27,0.05851468089457634,0.011935461332196569,0.058922301385479846,0.015105619199406353,0.0
2020-01-28,0.0780195745261018,0.047741845328786274,0.058922301385479846,0.015105619199406353,0.0
2020-01-29,0.09752446815762725,0.047741845328786274,0.058922301385479846,0.015105619199406353,0.0
2020-01-30,0.09752446815762725,0.047741845328786274,0.058922301385479846,0.015105619199406353,0.0
2020-01-31,0.09752446815762725,0.059677306660982844,0.16203632881006957,0.021147866879168892,0.030640300626696794
2020-02-01,0.11702936178915269,0.09548369065757255,0.17676690415643953,0.024168990719050164,0.030640300626696794
2020-02-02,0.11702936178915269,0.11935461332196569,0.2209586301955494,0.024168990719050164,0.030640300626696794
2020-02-03,0.11702936178915269,0.14322553598635882,0.2209586301955494,0.033232362238693976,0.030640300626696794
2020-02-04,0.11702936178915269,0.14322553598635882,0.23568920554191938,0.033232362238693976,0.030640300626696794
2020-02-05,0.11702936178915269,0.14322553598635882,0.2798809315810293,0.033232362238693976,0.030640300626696794
2020-02-06,0.11702936178915269,0.14322553598635882,0.3388032329665091,0.033232362238693976,0.030640300626696794
2020-02-07,0.11702936178915269,0.1551609973185554,0.35353380831287906,0.033232362238693976,0.045960450940045194
2020-02-08,0.2145538299467799,0.1551609973185554,0.35353380831287906,0.033232362238693976,0.045960450940045194
2020-02-09,0.2145538299467799,0.16709645865075196,0.368264383659249,0.033232362238693976,0.045960450940045194
2020-02-10,0.2145538299467799,0.16709645865075196,0.39772553435198893,0.033232362238693976,0.12256120250678718
2020-02-11,0.2145538299467799,0.1909673813151451,0.41245610969835894,0.036253486078575245,0.12256120250678718
2020-02-12,0.2145538299467799,0.1909673813151451,0.41245610969835894,0.036253486078575245,0.13788135282013558
2020-02-13,0.2145538299467799,0.1909673813151451,0.41245610969835894,0.039274609918456514,0.13788135282013558
2020-02-14,0.2145538299467799,0.1909673813151451,0.41245610969835894,0.039274609918456514,0.13788135282013558
